url,initialStatus,status,indexable,canonical,title,headings,bodyChars,noJsBodyChars,streamingRequiresJs,articlePresent,author,datePublished,dateModified,locale,inSitemap,classification,classificationConfirmed,risk,action,gscClicks,gscImpressions,gscPeriod,backlinks
"https://code-destiny.com/","200","200","true","https://code-destiny.com/","무료 사주·타로·궁합·자미두수 운세 | 꿀꿀운세 CODE DESTINY","[{""level"":""h2"",""text"":""🌸 운명의 꽃 아틀리에""},{""level"":""h3"",""text"":""연꽃""},{""level"":""h2"",""text"":""다시 내 편에 서는 타로""},{""level"":""h3"",""text"":""5카드 스프레드 · 흔들린 마음에서 나의 기준으로""},{""level"":""h2"",""text"":""✨ 다시 세워지는 나의 기준""},{""level"":""h2"",""text"":""달빛처럼 조용한 쿠키 안내""},{""level"":""h1"",""text"":""오늘의 운세부터 여섯 체계를 함께 읽는 초융합운세까지""},{""level"":""h2"",""text"":""무료로 바로 시작하기""},{""level"":""h2"",""text"":""전체 서비스 검색""},{""level"":""h2"",""text"":""필요한 서비스를 찾아보세요""},{""level"":""h2"",""text"":""오늘의 운세""},{""level"":""h2"",""text"":""운기·기일 다이어리와 나의 운세 플래너""},{""level"":""h2"",""text"":""지금 가장 궁금한 건 무엇인가요?""},{""level"":""h2"",""text"":""오늘의 한마디부터 여섯 체계의 깊은 리딩까지""},{""level"":""h2"",""text"":""대표 운명 상담""},{""level"":""h2"",""text"":""CODE DESTINY 전문가의 특별한 경험""},{""level"":""h2"",""text"":""카카오 공유 이벤트""},{""level"":""h3"",""text"":""5,000원 리딩 두 번이면, 9,900원 이용권이 더 쌉니다""},{""level"":""h2"",""text"":""더 둘러보기""},{""level"":""h2"",""text"":""이용자 후기""},{""level"":""h2"",""text"":""무료 사주 풀이부터 자미두수·숙요점·베다점까지, 이렇게 읽습니다""},{""level"":""h3"",""text"":""사주팔자·만세력""},{""level"":""h3"",""text"":""타로 리딩""},{""level"":""h3"",""text"":""자미두수""},{""level"":""h3"",""text"":""점성술 (서양·베다점)""},{""level"":""h3"",""text"":""숙요점""},{""level"":""h3"",""text"":""궁합""},{""level"":""h2"",""text"":""종합 운세의 꽃문 열기""},{""level"":""h2"",""text"":""왜 Code Destiny인가""},{""level"":""h2"",""text"":""더 많은 운세가 궁금하다면""},{""level"":""h2"",""text"":""당신에게 맞는 운세를 선택하세요""},{""level"":""h2"",""text"":""서비스를 함께 만들어 주세요.""},{""level"":""h3"",""text"":""관상 & 심볼 컬렉션""},{""level"":""h2"",""text"":""명상 컬렉션""},{""level"":""h2"",""text"":""타로 리딩 컬렉션""},{""level"":""h3"",""text"":""신탁 & 점술 컬렉션""},{""level"":""h3"",""text"":""코즈믹 & 별자리 컬렉션""},{""level"":""h3"",""text"":""운명의 꽃 & 해몽 컬렉션""},{""level"":""h3"",""text"":""VVIP 운명 서고""},{""level"":""h3"",""text"":""기타 점술 컬렉션""},{""level"":""h2"",""text"":""자주 찾는 운세는 문라이트 패스로 더 편안하게 이어가요""},{""level"":""h2"",""text"":""무의식의 마법 상점: 드림 타로""},{""level"":""h3"",""text"":""드림 타로""},{""level"":""h2"",""text"":""정신분석 해몽 보고서""},{""level"":""h2"",""text"":""거북점 — 천기(天機) 신탁""},{""level"":""h3"",""text"":""나의 운명 카드 필요""},{""level"":""h3"",""text"":""출생 정보 필요""},{""level"":""h3"",""text"":""✨ 서양 점성술 기본 출생차트""},{""level"":""h3"",""text"":""나의 운명 카드 필요""},{""level"":""h2"",""text"":""우리는 무슨 사이?""},{""level"":""h3"",""text"":""카드를 순서대로 열어 관계의 온도를 확인하세요""},{""level"":""h2"",""text"":""🌙 우리 사이의 온도와 속도""},{""level"":""h2"",""text"":""다시 닿기 전, 무엇을 지켜야 할까?""},{""level"":""h3"",""text"":""남은 온기에서 지켜야 할 기준까지, 등대의 빛을 순서대로 열어보세요""},{""level"":""h2"",""text"":""🌌 관계 회복 등대 리딩""},{""level"":""h2"",""text"":""한 해의 결을 여는 12장의 카드""},{""level"":""h3"",""text"":""열두 달의 카드를 여는 중입니다""},{""level"":""h2"",""text"":""십이지신 천운 타로 · 1년의 방향서""},{""level"":""h3"",""text"":""1月 상세 운세""},{""level"":""h2"",""text"":""✨ 수호 동물의 메시지""},{""level"":""h2"",""text"":""THE ORACLE OF KEMET""},{""level"":""h3"",""text"":""𓂀 십이 주신 황금 오라클""},{""level"":""h2"",""text"":""홈 화면에 앱으로 담아 두세요""},{""level"":""h2"",""text"":""""},{""level"":""h3"",""text"":""흰빛과 검은빛의 태극이 명식의 중심을 비춥니다""},{""level"":""h3"",""text"":""오늘의 코스믹 라이프 가이드""},{""level"":""h3"",""text"":""🌸 사주 명식 (四柱命式) FREE""},{""level"":""h3"",""text"":""""},{""level"":""h2"",""text"":""운명의 큰 흐름을 읽는 심층 해석 2종 세트""},{""level"":""h3"",""text"":""대운 (大運) 분석""},{""level"":""h3"",""text"":""종합 사주 풀이""},{""level"":""h3"",""text"":""궁합 분석""},{""level"":""h3"",""text"":""🔮 대운 (大運) — 억부+조후+종격 통합 판단 PREMIUM""},{""level"":""h3"",""text"":""📖 종합 사주 풀이 PREMIUM""},{""level"":""h3"",""text"":""🔆 오늘의 운세 & 이달의 운세""},{""level"":""h3"",""text"":""💞 궁합 보기 (연애 · 사업 · 친구) PREMIUM""},{""level"":""h3"",""text"":""✨ 나와 영혼의 쌍둥이 연예인은?""},{""level"":""h3"",""text"":""📸 사주네컷 운명 필터 ON""},{""level"":""h3"",""text"":""🧠 나는 도파민 중독일까?""},{""level"":""h3"",""text"":""✦ 재미있는 사주 콘텐츠""},{""level"":""h3"",""text"":""⚡ 퀀텀 명리 전략 리포트 — 전문 v3 판정""},{""level"":""h3"",""text"":""💀 요주의 빌런 블랙리스트""},{""level"":""h3"",""text"":""🎮 사주 RPG 캐릭터 — 運命 클래스 시트""},{""level"":""h3"",""text"":""🧭 에너지 원정 리포트 — 사주 맞춤 에너지 좌표""},{""level"":""h3"",""text"":""명리 헬스 리포트""},{""level"":""h3"",""text"":""🎱 퀀텀 로또 리포트 — 수리 에너지 공명 번호""},{""level"":""h3"",""text"":""𓂀 고대 이집트 오라클 (Eye of Horus)""},{""level"":""h3"",""text"":""🧬 사주로 보는 테토 VS 에겐 테스트""},{""level"":""h3"",""text"":""The Frozen Logic — 극T 테스트""},{""level"":""h2"",""text"":""인생의 책 전문가 상담""},{""level"":""h2"",""text"":""연애 비책 전문가 상담""},{""level"":""h2"",""text"":""신년운세 전문가 상담""},{""level"":""h2"",""text"":""⚡ 시빌라 시스템""},{""level"":""h2"",""text"":""⚡ DESTINY SCANNER""},{""level"":""h3"",""text"":""💖 연이의 편지""},{""level"":""h3"",""text"":""📤 사주 결과 공유하기""},{""level"":""h2"",""text"":""ESFJ와 다른 MBTI 궁합""}]","10976","10976","false","false","미확인","미확인","미확인","ko","true","B","false","[]","protect observed traffic; improve before any indexing change","21","194","{""from"":""2026-06-07"",""to"":""2026-09-06""}","미확인"
"https://code-destiny.com/about","308","200","true","https://code-destiny.com/about/","Code Destiny 소개 | 무료 운세 플랫폼","[{""level"":""h1"",""text"":""Code Destiny 소개""},{""level"":""h2"",""text"":""우리가 만들고 싶은 것""},{""level"":""h2"",""text"":""제공 서비스""},{""level"":""h2"",""text"":""다루는 운세 체계""},{""level"":""h2"",""text"":""콘텐츠는 이렇게 만듭니다""},{""level"":""h2"",""text"":""만드는 사람과 책임""},{""level"":""h2"",""text"":""운영 원칙""},{""level"":""h2"",""text"":""무료와 유료""},{""level"":""h2"",""text"":""운세 서비스 둘러보기""},{""level"":""h2"",""text"":""이용권·단건 결제·월정석의 차이""},{""level"":""h2"",""text"":""디지털 콘텐츠 환불 기준""},{""level"":""h2"",""text"":""관련 문서""}]","3677","3677","false","false","미확인","미확인","미확인","ko","false","D","true","[]","verify existing disposition","미확인","미확인","미확인","미확인"
"https://code-destiny.com/about/","200","200","true","https://code-destiny.com/about/","Code Destiny 소개 | 무료 운세 플랫폼","[{""level"":""h1"",""text"":""Code Destiny 소개""},{""level"":""h2"",""text"":""우리가 만들고 싶은 것""},{""level"":""h2"",""text"":""제공 서비스""},{""level"":""h2"",""text"":""다루는 운세 체계""},{""level"":""h2"",""text"":""콘텐츠는 이렇게 만듭니다""},{""level"":""h2"",""text"":""만드는 사람과 책임""},{""level"":""h2"",""text"":""운영 원칙""},{""level"":""h2"",""text"":""무료와 유료""},{""level"":""h2"",""text"":""운세 서비스 둘러보기""},{""level"":""h2"",""text"":""이용권·단건 결제·월정석의 차이""},{""level"":""h2"",""text"":""디지털 콘텐츠 환불 기준""},{""level"":""h2"",""text"":""관련 문서""}]","3677","3677","false","false","미확인","미확인","미확인","ko","true","B","false","[]","retain pending evidence review; no automatic deletion","0","13","{""from"":""2026-06-07"",""to"":""2026-09-06""}","미확인"
"https://code-destiny.com/account/delete","308","200","false","https://code-destiny.com/account/delete/","계정 삭제 안내 | Code Destiny","[{""level"":""h1"",""text"":""계정 삭제 안내""},{""level"":""h2"",""text"":""1. 삭제 절차""},{""level"":""h2"",""text"":""2. 삭제되는 데이터""},{""level"":""h2"",""text"":""3. 법령에 따라 보관되는 데이터""},{""level"":""h2"",""text"":""4. 삭제 전에 확인할 점""},{""level"":""h2"",""text"":""5. 계정에 로그인할 수 없는 경우""},{""level"":""h2"",""text"":""6. 삭제가 완료된 뒤""},{""level"":""h2"",""text"":""계정 삭제 진행""},{""level"":""h2"",""text"":""핵심 운세""},{""level"":""h2"",""text"":""타로 리딩""},{""level"":""h2"",""text"":""신탁 & 특화""},{""level"":""h2"",""text"":""추천 가이드""},{""level"":""h2"",""text"":""디지털 운세 서비스 환불 안내""},{""level"":""h2"",""text"":""면책 고지""},{""level"":""h2"",""text"":""사업자 정보""}]","1938","0","true","false","미확인","미확인","미확인","ko","false","D","true","[]","verify existing disposition","미확인","미확인","미확인","미확인"
"https://code-destiny.com/account/phone","308","200","false","https://code-destiny.com/account/phone/","휴대폰 번호 변경","[{""level"":""h2"",""text"":""핵심 운세""},{""level"":""h2"",""text"":""타로 리딩""},{""level"":""h2"",""text"":""신탁 & 특화""},{""level"":""h2"",""text"":""추천 가이드""},{""level"":""h2"",""text"":""디지털 운세 서비스 환불 안내""},{""level"":""h2"",""text"":""면책 고지""},{""level"":""h2"",""text"":""사업자 정보""}]","0","0","true","false","미확인","미확인","미확인","ko","false","D","true","[]","verify existing disposition","미확인","미확인","미확인","미확인"
"https://code-destiny.com/ads.txt","미확인","200","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인","미확인"
"https://code-destiny.com/advertising-policy/","200","200","true","https://code-destiny.com/advertising-policy/","Advertising Policy | 광고 운영정책 — Code Destiny","[{""level"":""h1"",""text"":""광고 운영정책 (Advertising Policy)""},{""level"":""h2"",""text"":""1. 기본 원칙 / Core Principles""},{""level"":""h2"",""text"":""2. 광고 유형 / Types of Advertising""},{""level"":""h2"",""text"":""3. 광고/제휴 표기 원칙 / Ad and Affiliate Disclosure""},{""level"":""h2"",""text"":""4. 편집 독립성 / Editorial Independence""},{""level"":""h2"",""text"":""5. 데이터 및 맞춤 광고 / Data and Personalized Ads""},{""level"":""h2"",""text"":""6. 제한 또는 거부 대상 광고 / Restricted or Rejected Ads""},{""level"":""h2"",""text"":""7. 결과 보장 부인 / No Guarantee of Outcomes""},{""level"":""h2"",""text"":""8. 정책 업데이트 및 문의 / Updates and Contact""},{""level"":""h2"",""text"":""핵심 운세""},{""level"":""h2"",""text"":""타로 리딩""},{""level"":""h2"",""text"":""신탁 & 특화""},{""level"":""h2"",""text"":""추천 가이드""},{""level"":""h2"",""text"":""디지털 운세 서비스 환불 안내""},{""level"":""h2"",""text"":""면책 고지""},{""level"":""h2"",""text"":""사업자 정보""}]","2157","0","true","false","미확인","미확인","미확인","ko","true","B","false","[]","retain pending evidence review; no automatic deletion","미확인","미확인","미확인","미확인"
"https://code-destiny.com/animal/mbti/","200","200","true","https://code-destiny.com/animal/mbti/","MBTI 궁합 무료 보는 곳 | 16유형 관계 케미 동물 궁합","[{""level"":""h1"",""text"":""MBTI 궁합 — 16유형 동물 케미""},{""level"":""h2"",""text"":""핵심 포인트""},{""level"":""h2"",""text"":""MBTI 궁합을 관계 기술로 바꾸는 6단계""},{""level"":""h3"",""text"":""1. MBTI 궁합은 성격 판정이 아니라 소통 지도입니다""},{""level"":""h3"",""text"":""2. 동물 비유는 복잡한 유형 차이를 쉽게 설명합니다""},{""level"":""h3"",""text"":""3. 궁합 점수보다 갈등 트리거를 먼저 확인하세요""},{""level"":""h3"",""text"":""4. 연애·우정·협업은 같은 조합도 작동이 다릅니다""},{""level"":""h3"",""text"":""5. 좋은 궁합도 운영 규칙 없이는 쉽게 흔들립니다""},{""level"":""h3"",""text"":""6. 결과를 대화 스크립트로 바꿔보세요""},{""level"":""h2"",""text"":""핵심 운세""},{""level"":""h2"",""text"":""타로 리딩""},{""level"":""h2"",""text"":""신탁 & 특화""},{""level"":""h2"",""text"":""추천 가이드""},{""level"":""h2"",""text"":""디지털 운세 서비스 환불 안내""},{""level"":""h2"",""text"":""면책 고지""},{""level"":""h2"",""text"":""사업자 정보""}]","1409","0","true","false","미확인","미확인","미확인","ko","true","B","false","[]","retain pending evidence review; no automatic deletion","미확인","미확인","미확인","미확인"
"https://code-destiny.com/astrology-ai/","200","200","false","https://code-destiny.com/astrology-ai/","점성술 전문가 상담 | Code Destiny","[]","0","0","false","false","미확인","미확인","미확인","ko","false","C","true","[]","verify existing disposition","미확인","미확인","미확인","미확인"
"https://code-destiny.com/astrology/","200","200","true","https://code-destiny.com/astrology/","무료 점성술 운세 사이트 | 출생차트·별자리 운세 무료 보기","[{""level"":""h1"",""text"":""무료 점성술 운세 — 출생차트로 보는 별자리""},{""level"":""h2"",""text"":""사용 방법""},{""level"":""h2"",""text"":""제공 결과""},{""level"":""h2"",""text"":""출생차트의 세 축 — 태양·달·상승점""},{""level"":""h2"",""text"":""열두 하우스와 행성 — 영역과 힘의 배치""},{""level"":""h2"",""text"":""어스펙트와 트랜싯 — 관계와 시기""},{""level"":""h2"",""text"":""주의와 면책""},{""level"":""h2"",""text"":""관련 기능""},{""level"":""h2"",""text"":""자주 묻는 질문""},{""level"":""h2"",""text"":""핵심 운세""},{""level"":""h2"",""text"":""타로 리딩""},{""level"":""h2"",""text"":""신탁 & 특화""},{""level"":""h2"",""text"":""추천 가이드""},{""level"":""h2"",""text"":""디지털 운세 서비스 환불 안내""},{""level"":""h2"",""text"":""면책 고지""},{""level"":""h2"",""text"":""사업자 정보""}]","2649","0","true","false","미확인","미확인","미확인","ko","true","B","false","[]","retain pending evidence review; no automatic deletion","미확인","미확인","미확인","미확인"
